match_id,duration,start_time,radiant_team_id,radiant_name,dire_team_id,dire_name,leagueid,league_name,series_id,series_type,radiant_score,dire_score,radiant_win,version
8398733283,2474,1754082653,9678463.0,Estar Backs,8971308.0,x5 Gaming,18474,Americas Convergence Series 1,998800,1,35,49,False,22.0
8398731233,1477,1754082447,8513223.0,Farmadores de Aura,9744330.0,Somos Nós a Justiça,18203,Campeonato NEXTLEVEL,998819,3,11,28,False,22.0
8398717400,1810,1754081668,9005364.0,Night Vision,8850015.0,DARKNESS GAMING,17211,Dota 2 Space League,998796,1,26,40,False,22.0
8398701241,1921,1754080729,9718665.0,Eye Gaming,9839211.0,Dominion,17366,Ultras Dota Pro League  2024-25,998772,1,59,37,True,22.0
8398686991,2890,1754079939,9839798.0,Агенты 322,9839382.0,ALT+F4,18419,Boss Battle,998769,3,39,33,True,22.0
8398671066,1855,1754079126,8971308.0,x5 Gaming,9678463.0,Estar Backs,18474,Americas Convergence Series 1,998800,1,17,35,False,22.0
8398660927,1863,1754078589,8850015.0,DARKNESS GAMING,9005364.0,Night Vision,17211,Dota 2 Space League,998796,1,36,27,True,22.0
8398643555,2387,1754077511,9718665.0,Eye Gaming,9839211.0,Dominion,17366,Ultras Dota Pro League  2024-25,998772,1,46,41,True,22.0
8398616644,3100,1754076176,9829371.0,Rock n Sports,9572147.0,Avalanche eSports,18203,Campeonato NEXTLEVEL,998763,3,42,47,False,22.0
8398579942,2208,1754074315,9839211.0,Dominion,9718665.0,Eye Gaming,17366,Ultras Dota Pro League  2024-25,998772,1,48,36,True,22.0
8398566867,4202,1754073640,9839382.0,ALT+F4,9839798.0,Агенты 322,18419,Boss Battle,998769,3,36,51,False,22.0
8398543664,2298,1754072487,9572147.0,Avalanche eSports,9829371.0,Rock n Sports,18203,Campeonato NEXTLEVEL,998763,3,34,23,True,22.0
8398495206,2190,1754070113,9759026.0,Dominion,9729268.0,Teiko,17366,Ultras Dota Pro League  2024-25,993989,1,39,23,True,22.0
8398452795,2151,1754068096,9577761.0,PAREDAO DOTA 2,8971308.0,x5 Gaming,18203,Campeonato NEXTLEVEL,998729,3,28,31,False,22.0
8398452585,2550,1754068193,9600141.0,Zero Tenacity,2576071.0,Yellow Submarine,17381,European Pro League  2024-2025 Season,998709,2,33,25,True,22.0
8398406300,2961,1754065942,9729268.0,Teiko,9730490.0,Dominion,17366,Ultras Dota Pro League  2024-25,998735,1,62,42,True,22.0
8398380352,1768,1754064822,8971308.0,x5 Gaming,9577761.0,PAREDAO DOTA 2,18203,Campeonato NEXTLEVEL,998729,3,33,11,True,22.0
8398377080,1911,1754064657,2576071.0,Yellow Submarine,9600141.0,Zero Tenacity,17381,European Pro League  2024-2025 Season,998709,2,18,26,False,22.0
8398342136,2868,1754063153,9640842.0,Team Tidebound,8599101.0,Gaimin Gladiators,18359,Clavision DOTA2 Masters 2025: Snow-Ruyi,998705,1,32,29,True,22.0
8398339835,1742,1754063085,9759026.0,Dominion,9818938.0,Teiko,17366,Ultras Dota Pro League  2024-25,998721,1,32,30,True,22.0
8398321912,1856,1754062397,9255039.0,1w Team,9247798.0,Passion UA,18396,CCT Dota 2 Season 2 Series 3,998657,2,24,9,True,22.0
8398286558,2957,1754060899,9834249.0,Ji est'',9829468.0,100MMR,18419,Boss Battle,998713,3,36,46,False,22.0
8398281267,1357,1754060657,8629324.0,Swift Knights,9426115.0,Dark Rebellion,17233,Destiny League,998697,1,30,18,True,22.0
8398270157,2636,1754060395,9600141.0,Zero Tenacity,2576071.0,Yellow Submarine,17381,European Pro League  2024-2025 Season,998709,2,51,11,True,22.0
8398254309,2117,1754059527,9843904.0,Nethercore ,9729268.0,Teiko,17366,Ultras Dota Pro League  2024-25,998693,1,51,15,True,22.0
8398252407,1980,1754059454,9381131.0,Uzumaki,9759026.0,Dominion,17366,Ultras Dota Pro League  2024-25,998679,1,43,19,True,22.0
8398232383,1384,1754058664,9426115.0,Dark Rebellion,8629324.0,Swift Knights,17233,Destiny League,998697,1,13,38,False,22.0
8398224091,2596,1754058821,8599101.0,Gaimin Gladiators,9640842.0,Team Tidebound,18359,Clavision DOTA2 Masters 2025: Snow-Ruyi,998705,1,16,32,False,22.0
8398204874,3126,1754057668,9247798.0,Passion UA,9255039.0,1w Team,18396,CCT Dota 2 Season 2 Series 3,998657,2,40,23,True,22.0
